epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.575476,0.838506,0.137854,0.964943,0.964841
2,0.018933,0.996868,0.397599,0.865172,0.853773
3,0.013702,0.997471,0.082417,0.980575,0.980077
4,0.009613,0.998218,0.000821,1.000000,1.000000
5,0.007979,0.998463,0.000687,1.000000,1.000000
6,0.000250,1.000000,0.000173,1.000000,1.000000
7,0.017908,0.995790,0.037636,0.986437,0.986165
