epoch,acc_train,macro_f1_train,acc_val,macro_f1_val
1,0.745172,0.748363,0.630805,0.634675
2,0.880690,0.881714,0.755402,0.757455
3,0.921264,0.921036,0.790920,0.791316
4,0.938161,0.937810,0.804943,0.804456
5,0.949655,0.949862,0.806207,0.807121
6,0.961839,0.961681,0.817126,0.816774
7,0.957931,0.957896,0.808506,0.809020
8,0.963448,0.963526,0.803793,0.804968
9,0.965287,0.965262,0.811494,0.811495
10,0.962184,0.962198,0.808391,0.808705
11,0.969540,0.969501,0.807011,0.807567
